set_name,card_name,ungraded_price
Prices for Pokemon Paldean Fates Pokemon Cards,Mew ex #232,$706.56
Prices for Pokemon Paldean Fates Pokemon Cards,Charizard ex #234,$245.56
Prices for Pokemon Paldean Fates Pokemon Cards,Gardevoir ex #233,$120.00
Prices for Pokemon Paldean Fates Pokemon Cards,Mew ex #216,$29.06
Prices for Pokemon Paldean Fates Pokemon Cards,Palafin #225,$2.25
Prices for Pokemon Paldean Fates Pokemon Cards,Pikachu #131,$46.64
Prices for Pokemon Paldean Fates Pokemon Cards,Pawmi #226,$2.40
Prices for Pokemon Paldean Fates Pokemon Cards,Wugtrio #224,$2.06
Prices for Pokemon Paldean Fates Pokemon Cards,Charizard ex #54,$4.12
Prices for Pokemon Paldean Fates Pokemon Cards,Iono #237,$27.27
Prices for Pokemon Paldean Fates Pokemon Cards,Snorlax #202,$29.95
Prices for Pokemon Paldean Fates Pokemon Cards,Gardevoir ex #217,$7.39
Prices for Pokemon Paldean Fates Pokemon Cards,Charmander #109,$25.00
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Student #230,$1.19
Prices for Pokemon Paldean Fates Pokemon Cards,Clive #236,$17.99
Prices for Pokemon Paldean Fates Pokemon Cards,Great Tusk Ex & Iron Treads Ex Premium Collection,$209.00
Prices for Pokemon Paldean Fates Pokemon Cards,Booster Bundle,$134.45
Prices for Pokemon Paldean Fates Pokemon Cards,Alakazam ex #215,$5.00
Prices for Pokemon Paldean Fates Pokemon Cards,Penny #239,$20.63
Prices for Pokemon Paldean Fates Pokemon Cards,Nemona #229,$1.19
Prices for Pokemon Paldean Fates Pokemon Cards,Ceruledge [Pokemon Day] #40,$5.31
Prices for Pokemon Paldean Fates Pokemon Cards,Ditto #201,$22.00
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Student #231,$0.99
Prices for Pokemon Paldean Fates Pokemon Cards,Clive #227,$1.33
Prices for Pokemon Paldean Fates Pokemon Cards,Mimikyu #160,$23.00
Prices for Pokemon Paldean Fates Pokemon Cards,Noivern ex #220,$1.99
Prices for Pokemon Paldean Fates Pokemon Cards,Wigglytuff ex #222,$2.50
Prices for Pokemon Paldean Fates Pokemon Cards,Pidgeot ex #221,$4.62
Prices for Pokemon Paldean Fates Pokemon Cards,Pikachu #18,$0.63
Prices for Pokemon Paldean Fates Pokemon Cards,Gengar #57,$0.71
Prices for Pokemon Paldean Fates Pokemon Cards,Miraidon ex #243,$11.05
Prices for Pokemon Paldean Fates Pokemon Cards,Judge #228,$1.73
Prices for Pokemon Paldean Fates Pokemon Cards,Arven #235,$11.00
Prices for Pokemon Paldean Fates Pokemon Cards,Charmeleon #110,$16.16
Prices for Pokemon Paldean Fates Pokemon Cards,Espathra ex #214,$1.25
Prices for Pokemon Paldean Fates Pokemon Cards,Booster Bundle Display,$1
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Clodsire ex #219,$2.25
Prices for Pokemon Paldean Fates Pokemon Cards,Glimmora ex #218,$1.19
Prices for Pokemon Paldean Fates Pokemon Cards,Forretress ex #212,$1.45
Prices for Pokemon Paldean Fates Pokemon Cards,Koraidon ex #245,$10.78
Prices for Pokemon Paldean Fates Pokemon Cards,Raichu #132,$12.75
Prices for Pokemon Paldean Fates Pokemon Cards,Lucario #174,$16.21
Prices for Pokemon Paldean Fates Pokemon Cards,Toedscruel ex #213,$1.89
Prices for Pokemon Paldean Fates Pokemon Cards,Nemona #238,$5.74
Prices for Pokemon Paldean Fates Pokemon Cards,Chi-Yu ex #241,$9.08
Prices for Pokemon Paldean Fates Pokemon Cards,Chien-Pao ex #242,$7.48
Prices for Pokemon Paldean Fates Pokemon Cards,Sealed Charizard ex Tin,$121.83
Prices for Pokemon Paldean Fates Pokemon Cards,Charmander #7,$0.47
Prices for Pokemon Paldean Fates Pokemon Cards,Charmeleon #8,$0.49
Prices for Pokemon Paldean Fates Pokemon Cards,Entei #112,$10.29
Prices for Pokemon Paldean Fates Pokemon Cards,Wo-Chien ex #240,$6.99
Prices for Pokemon Paldean Fates Pokemon Cards,Squawkabilly ex #223,$2.46
Prices for Pokemon Paldean Fates Pokemon Cards,Ting-Lu ex #244,$5.14
Prices for Pokemon Paldean Fates Pokemon Cards,Tech Sticker Collection: Fidough,$48.99
Prices for Pokemon Paldean Fates Pokemon Cards,Cleffa #150,$3.99
Prices for Pokemon Paldean Fates Pokemon Cards,Raichu #19,$1.91
Prices for Pokemon Paldean Fates Pokemon Cards,Riolu #173,$8.99
